Delta,Original,New
0.05,0.45621994137763977,0.4326474964618683
0.05,0.45621994137763977,0.4099148213863373
0.05,0.45621994137763977,0.4861568212509155
0.05,0.45621994137763977,0.5078647136688232
0.05,0.45621994137763977,0.42628946900367737
0.05,0.45621994137763977,0.4563508927822113
0.05,0.45621994137763977,0.5136863589286804
0.05,0.45621994137763977,0.5505896806716919
0.05,0.45621994137763977,0.43168383836746216
0.05,0.45621994137763977,0.42623668909072876
0.05,0.45621994137763977,0.46432602405548096
0.05,0.45621994137763977,0.5482226014137268
0.05,0.45621994137763977,0.4331742823123932
0.05,0.45621994137763977,0.47060903906822205
0.05,0.45621994137763977,0.49909260869026184
0.05,0.45621994137763977,0.5300291776657104
0.05,0.45621994137763977,0.47476813197135925
0.05,0.45621994137763977,0.467683881521225
0.05,0.45621994137763977,0.4029010534286499
0.05,0.45621994137763977,0.4136985242366791
0.05,0.45621994137763977,0.47820982336997986
0.05,0.45621994137763977,0.4423220455646515
0.05,0.45621994137763977,0.3889216482639313
0.05,0.45621994137763977,0.4804159700870514
0.05,0.45621994137763977,0.46042048931121826
0.05,0.45621994137763977,0.4768812656402588
0.05,0.45621994137763977,0.41469642519950867
0.05,0.45621994137763977,0.44705116748809814
0.05,0.45621994137763977,0.48269179463386536
0.05,0.45621994137763977,0.5236490964889526
0.05,0.45621994137763977,0.44485342502593994
0.05,0.45621994137763977,0.4916681945323944
0.05,0.45621994137763977,0.41392865777015686
0.05,0.45621994137763977,0.4906432032585144
0.05,0.45621994137763977,0.4143480062484741
0.05,0.45621994137763977,0.4767586588859558
0.05,0.45621994137763977,0.4003031551837921
0.05,0.45621994137763977,0.41865062713623047
0.05,0.45621994137763977,0.38685157895088196
0.05,0.45621994137763977,0.4294009208679199
0.05,0.45621994137763977,0.4683116674423218
0.05,0.45621994137763977,0.48279643058776855
0.05,0.45621994137763977,0.4888085722923279
0.05,0.45621994137763977,0.42278483510017395
0.05,0.45621994137763977,0.42435404658317566
0.05,0.45621994137763977,0.40976208448410034
0.05,0.45621994137763977,0.38960379362106323
0.05,0.45621994137763977,0.5053816437721252
0.05,0.45621994137763977,0.4368511140346527
0.05,0.45621994137763977,0.523300051689148
0.05,0.45621994137763977,0.4950844347476959
0.05,0.45621994137763977,0.43765807151794434
0.05,0.45621994137763977,0.3475824296474457
0.05,0.45621994137763977,0.5321118831634521
0.05,0.45621994137763977,0.5027745366096497
0.05,0.45621994137763977,0.42517808079719543
0.05,0.45621994137763977,0.4388963580131531
0.05,0.45621994137763977,0.5650862455368042
0.05,0.45621994137763977,0.45574134588241577
0.05,0.45621994137763977,0.43621599674224854
0.05,0.45621994137763977,0.39102086424827576
0.05,0.45621994137763977,0.42456474900245667
0.05,0.45621994137763977,0.37148961424827576
0.05,0.45621994137763977,0.39539363980293274
0.05,0.45621994137763977,0.4648507237434387
0.05,0.45621994137763977,0.4477430582046509
0.05,0.45621994137763977,0.4740607738494873
0.05,0.45621994137763977,0.41937923431396484
0.05,0.45621994137763977,0.43261274695396423
0.05,0.45621994137763977,0.4854271411895752
0.05,0.45621994137763977,0.42200714349746704
0.05,0.45621994137763977,0.4096795320510864
0.05,0.45621994137763977,0.43037131428718567
0.05,0.45621994137763977,0.4124543070793152
0.05,0.45621994137763977,0.5062209367752075
0.05,0.45621994137763977,0.45928049087524414
0.05,0.45621994137763977,0.4611905813217163
0.05,0.45621994137763977,0.394986093044281
0.05,0.45621994137763977,0.5319092869758606
0.05,0.45621994137763977,0.47202569246292114
0.05,0.45621994137763977,0.39721253514289856
0.05,0.45621994137763977,0.45224612951278687
0.05,0.45621994137763977,0.46976014971733093
0.05,0.45621994137763977,0.5943409204483032
0.05,0.45621994137763977,0.5762898325920105
0.05,0.45621994137763977,0.43870866298675537
0.05,0.45621994137763977,0.4266276955604553
0.05,0.45621994137763977,0.4717433750629425
0.05,0.45621994137763977,0.44620394706726074
0.05,0.45621994137763977,0.45712214708328247
0.05,0.45621994137763977,0.49048715829849243
0.05,0.45621994137763977,0.5687601566314697
0.05,0.45621994137763977,0.49811020493507385
0.05,0.45621994137763977,0.41872265934944153
0.05,0.45621994137763977,0.4930506646633148
0.05,0.45621994137763977,0.5216503739356995
0.05,0.45621994137763977,0.47267475724220276
0.05,0.45621994137763977,0.5695428252220154
0.05,0.45621994137763977,0.4730421006679535
0.05,0.45621994137763977,0.46635839343070984
0.05,0.45621994137763977,0.505801260471344
